V1,V3,V4,V5,rid,consent,age,gender,hhi,ethnicity,hispanic,education,region,zip,inputstate,votereg,pid3,dem_strength,rep_strength,ind_lean,pid7,educ4,ideo5,marstat,presvote16_post,intent,presvote2020,presvote2020_voted,presvote_2020lean,religpew,pew_bornagain,employ,newsint,urbancity,class,acknowledgment,nationalweight,margin,trumplose,whytrump,tres11,tres22,tres33,duration
R_3m9LFZ7yJGE57E2,10/25/20 7:14,10/25/20 7:21,1,5f9579df-4584-0525-cd25-305e4cae1430,1,38,1,7,1,1,2,2,63601,26,1,2,NA,1,NA,7,1,3,1,2,1,2,NA,NA,1,2,1,1,3,5,5,0.918638177,10,1,Because no wag biden actually wins,Voter Fraud,NA,NA,7.58
R_eCDTZnpQRGHjOr7,10/25/20 7:15,10/25/20 7:26,1,5f957a28-2cd6-3ef7-8f8c-ed743f2e808c,1,48,2,5,1,1,2,2,49022,23,1,2,NA,2,NA,6,1,4,1,7,1,2,NA,NA,2,2,7,2,3,4,6,1.180765911,13,1,Because trump is leading and if he loses i believe it would be fraud,Voter Fraud,NA,NA,11.87
R_33kZ2GTSPUvz7Il,10/25/20 7:21,10/25/20 7:31,1,5f957bb9-0703-3747-680a-44af7661c24b,1,34,2,4,1,1,3,3,32750,10,1,2,NA,2,NA,6,2,3,5,4,1,2,NA,NA,2,2,1,4,2,2,6,0.975315261,10,1,I don’t trust mail in votes,Voter Fraud,NA,NA,10.05
R_2V1HuJm87UG0WIu,10/25/20 7:25,10/25/20 7:39,1,5f957c79-a5fe-f34e-f35b-f9cb07cf034c,1,31,1,2,4,1,5,3,77032,45,1,2,NA,2,NA,6,3,3,1,2,2,2,NA,NA,6,2,2,2,1,3,2,0.483824406,12,1,Its not fairs election,Voter Fraud,Distrust Election,NA,13.73
R_3m1X1KYhxy4NMJv,10/25/20 8:13,10/25/20 8:19,1,5f9587b0-a2c7-4893-f7c7-baf839b16974,1,37,1,9,1,1,2,1,18045,39,1,3,NA,NA,3,4,1,3,5,2,1,8,NA,2,11,2,6,2,2,4,3,0.858252704,5,1,because of the mail in ballots,Voter Fraud,NA,NA,6.32
R_1et6YAWD48JHdqP,10/25/20 8:15,10/25/20 8:36,1,5f95885d-c793-06b9-c85a-3367dc4c25b5,1,81,1,-3105,1,1,6,1,8809,31,1,3,NA,NA,2,5,4,4,1,2,1,2,NA,NA,12,2,2,2,3,3,5,0.949276845,7,1,Too many rumors of voter fraud and ballots being lost,Voter Fraud,NA,NA,20.63
R_2Pv5cOQUjxXnY5e,10/25/20 8:55,10/25/20 9:03,1,5f9591c7-13a8-64d0-0f88-8f05e152d022,1,39,1,16,2,1,2,3,21216,21,1,2,NA,2,NA,6,1,4,5,2,1,2,NA,NA,7,2,1,1,1,3,3,1.85582254,13,1,Mail in could affect the results,Voter Fraud,NA,NA,7.83
R_1PZcjBRuj44DPpl,10/25/20 8:52,10/25/20 9:05,1,5f9590dc-c05c-a6b1-0329-be924ed09706,1,46,2,7,2,1,4,4,89103,29,1,2,NA,1,NA,7,2,4,4,2,1,2,NA,NA,11,1,3,1,1,3,3,0.993867549,15,1,"My experience, I’ve received 2 ballots and individuals have never lived here.",Voter Fraud,NA,NA,13.28
R_PIn98acig90wp4R,10/25/20 9:19,10/25/20 9:31,1,5f959739-6485-085e-23fc-f927b2e6cfab,1,18,2,-3105,1,1,2,4,59072,27,1,3,NA,NA,2,5,1,6,5,NA,1,2,NA,NA,12,2,9,2,3,4,6,0.909865913,1,1,The votes are going to be through mail this year. There’s no telling if the votes will be lost or miscounted due to covid.,Voter Fraud,NA,NA,12.03
R_2tDnZV10S41bnc1,10/25/20 9:42,10/25/20 9:57,1,5f959ce1-8a1e-2997-2d29-9ced601d5050,1,33,2,3,1,1,2,3,33917,10,1,2,NA,1,NA,7,1,3,1,2,1,2,NA,NA,12,2,6,2,2,5,6,0.815072274,4,1,"Inaccurate count of votes,fraudulent applications",Voter Fraud,Distrust Election,NA,14.55
R_3RgPmnd4Ov7XRsx,10/25/20 9:53,10/25/20 9:59,1,5f959f28-0d4d-1385-f229-d9353b522e56,1,58,1,13,15,2,3,1,8861,31,1,2,NA,2,NA,6,2,3,2,2,1,2,NA,NA,2,2,1,1,2,4,6,1.642829895,8,1,Because if mail in voter fraud,Voter Fraud,NA,NA,6.47
R_2q8HRcgeh72UNyJ,10/25/20 9:45,10/25/20 10:01,1,5f959d60-9731-166e-3600-52c6dca256a5,1,47,2,4,1,1,5,3,29577,42,1,2,NA,1,NA,7,3,3,3,2,3,NA,2,NA,2,1,1,1,1,4,6,0.509413998,5,1,Absentee voters and anyone with mail in ballots are already messed up. Also appears the lost and burned ballots are Trumps,Voter Fraud,NA,NA,16.62
R_pMdYApfEJExfnpL,10/25/20 9:54,10/25/20 10:11,1,5f959fa7-d14d-ebdb-3a19-d6a4d0c1bd68,1,70,2,23,1,1,6,1,7666,31,1,2,NA,1,NA,7,4,5,1,2,1,2,NA,NA,5,2,2,1,2,2,3,0.759519722,11,1,"It has already proven to be inefficient and dishonest.  Republican ballots in the trash, poor and varying signature validation.  MY personal ballot was sent out wrong based on incorrect voting district and incorrect candidates. We were told that corrected ballots would be received in 3-4 days.  It has now been several weeks and the Deputy Mayor has had no success getting the election office to send the corrected ballots.  Teaneck, NJ",Voter Fraud,NA,NA,16.53
R_32LPQacGUhyQ3DD,10/25/20 10:19,10/25/20 10:24,1,5f95a517-e629-15be-e87d-379202747b28,1,48,1,9,1,1,2,3,24153,48,1,2,NA,1,NA,7,1,5,3,2,1,2,NA,NA,12,2,1,1,2,3,1,1.154361504,3,1,probably voter fraud,Voter Fraud,NA,NA,5.55
R_1DOupscX5In7275,10/25/20 9:54,10/25/20 10:44,1,5f959fa3-8247-de19-007d-355926f08b49,1,69,2,8,1,1,3,3,32433,10,1,2,NA,1,NA,7,2,4,1,2,1,2,NA,NA,11,1,5,2,2,3,3,0.763361265,12,1,Votes thru mail might not have made it to polling place.,Voter Fraud,Distrust Election,NA,49.6
R_10TQxVbuaB6gdSe,10/25/20 13:01,10/25/20 13:10,1,5f95cb48-bef3-16c3-84be-4553b250b649,1,48,2,3,1,1,3,3,32254,10,1,3,NA,NA,3,4,2,2,6,7,2,2,NA,NA,12,2,4,2,1,5,6,0.914894002,3,1,The mailing system is a huge potietional for disater,Voter Fraud,NA,NA,9.2
R_2QzenhgL7qMqODU,10/25/20 13:08,10/25/20 13:15,1,5f95cd12-8e95-b2bb-3b10-675cb2eb685d,1,72,2,13,1,1,3,1,7728,31,1,3,NA,NA,3,4,2,4,1,2,1,8,NA,8,2,2,5,2,2,3,3,1.118500868,5,NA,NA,Voter Fraud,NA,NA,7.02
R_2zoT4tgQLcPKgMB,10/25/20 13:03,10/25/20 13:19,1,5f95cbcc-652e-8c29-c4ba-5fc38333a15e,1,63,2,2,1,1,2,3,24301,48,1,2,NA,2,NA,6,1,4,4,7,1,2,NA,NA,11,1,5,3,3,3,6,0.856011654,1,1,Because ballots are already being thrown in the trash,Voter Fraud,NA,NA,15.58
R_1d4fJYmMFtEX7pf,10/25/20 13:08,10/25/20 13:23,1,5f95ccda-6b37-a4c1-0a20-35f4e900e2fd,1,62,2,5,1,1,3,3,27298,34,1,2,NA,2,NA,6,2,4,3,2,1,2,NA,NA,1,2,5,1,3,4,5,0.763361265,1,1,because of voter fraud,Voter Fraud,NA,NA,15.25
R_3jYUmXuWfJep9tE,10/25/20 13:12,10/25/20 13:24,1,5f95cdd9-f1d0-f08a-56ca-5ef990697479,1,53,2,5,1,1,2,3,31554,11,1,2,NA,1,NA,7,1,3,6,2,1,2,NA,NA,12,2,7,2,3,4,4,1.051771219,13,1,If Biden wins it will be because of fraud,Voter Fraud,NA,NA,12.17
